Message,Disaster,Urgency,Assistance
"Floodwater has blocked access to the fire station.",Flood,High,"Emergency route clearance"
"People are waiting on a terrace for rescue.",Flood,Critical,"Boat rescue"
"The highway service road is flooded.",Flood,Medium,"Traffic control team"
"The water has reached waist height inside our home.",Flood,Critical,"Rescue team"
"Several utility poles are surrounded by water.",Flood,High,"Electricity emergency team"
"The canal has overflowed into nearby houses.",Flood,Critical,"Evacuation team"
"Flooding has damaged food supplies in local shops.",Flood,Medium,"Relief supplies"
"The railway station platform is flooded.",Flood,High,"Railway emergency team"
"Water is rushing through the parking garage.",Flood,High,"Pumping equipment"
"The village has lost road access because of flooding.",Flood,High,"Emergency transport"
"Floodwater is approaching the hospital wards.",Flood,Critical,"Medical evacuation"
"People are trapped inside vehicles in the flooded street.",Flood,Critical,"Vehicle rescue"
"The storm drain is overflowing onto the footpath.",Flood,Low,"Municipal cleanup"
"The river has flooded the nearby farms.",Flood,Medium,"Agricultural relief team"
"Floodwater has damaged the road surface.",Flood,Medium,"Road repair team"
"The apartment elevator stopped after water entered the basement.",Flood,High,"Building safety team"
"Several families need temporary shelter after flooding.",Flood,High,"Relief shelter"
"Water has entered the community center.",Flood,Medium,"Cleanup team"
"The coastal road is flooded by heavy rainfall.",Flood,High,"Road closure team"
"Floodwater is surrounding the village temple.",Flood,High,"Evacuation team"
"A child is trapped in a flooded room.",Flood,Critical,"Emergency rescue"
"The water level has reached the first-floor staircase.",Flood,Critical,"Evacuation team"
"Cars are floating near the residential complex.",Flood,Critical,"Rescue team"
"The storm has caused flooding across the neighborhood.",Flood,High,"Disaster response team"
"Water has covered the entire playground.",Flood,Low,"Municipal drainage team"
"Flooding has blocked ambulances from reaching the area.",Flood,Critical,"Emergency route clearance"
"Residents need drinking water after the flood.",Flood,Medium,"Relief supplies"
"The local bridge is unsafe because of strong flood currents.",Flood,High,"Bridge inspection team"
"Water has entered several electrical rooms.",Flood,Critical,"Electricity emergency team"
"The drainage pump has stopped during heavy rain.",Flood,High,"Pumping equipment"
"Floodwater has surrounded the bus stop.",Flood,Medium,"Transport emergency team"
"The river is overflowing toward the village.",Flood,Critical,"Mass evacuation"
"Several houses are isolated by floodwater.",Flood,High,"Boat rescue"
"The street is filled with muddy floodwater.",Flood,Medium,"Municipal cleanup"
"Flooding has damaged the neighborhood water supply.",Flood,High,"Utility repair team"
"The basement generator area is flooded.",Flood,Critical,"Electricity emergency team"
"People are stranded at the railway station due to flooding.",Flood,High,"Evacuation team"
"Water has entered the ground-floor classrooms.",Flood,High,"School evacuation"
"The road tunnel is flooded.",Flood,Critical,"Road closure team"
"Floodwater is entering a nursing home.",Flood,Critical,"Medical evacuation"
"The rain has caused flooding near the airport road.",Flood,High,"Traffic control team"
"Several houses near the river are surrounded by water.",Flood,Critical,"Evacuation team"
"The flood has washed away part of the village road.",Flood,High,"Road repair team"
"Water is flowing into our shop from the street.",Flood,Medium,"Cleanup team"
"The neighborhood needs emergency food after flooding.",Flood,Medium,"Relief supplies"
"Floodwater has reached the entrance of the police station.",Flood,High,"Emergency access team"
"People are stuck on a bus surrounded by water.",Flood,Critical,"Vehicle rescue"
"The rain has flooded the underground parking area.",Flood,Medium,"Water pumping team"
"The river current is becoming dangerous near the houses.",Flood,Critical,"Rescue team"
"Floodwater has damaged several small bridges.",Flood,High,"Bridge inspection team"
"Residents are moving upstairs because of rising water.",Flood,High,"Evacuation team"
"Water has covered the main village square.",Flood,Medium,"Municipal response"
"Several streets are inaccessible because of flooding.",Flood,High,"Road clearance team"
"Floodwater has entered the emergency shelter.",Flood,Critical,"Relocation team"
"A family is trapped inside a flooded vehicle.",Flood,Critical,"Vehicle rescue"
"The rain has caused waterlogging across the market.",Flood,Medium,"Municipal drainage team"
"Floodwater is entering the hospital basement.",Flood,High,"Pumping equipment"
"People need urgent rescue from the flooded neighborhood.",Flood,Critical,"Rescue team"
"Flames are coming from a building near the market.",Fire,High,"Fire brigade"
"Smoke is filling the apartment building.",Fire,Critical,"Fire brigade"
"A kitchen fire has started in our restaurant.",Fire,High,"Fire suppression team"
"An electrical panel is burning inside the office.",Fire,High,"Fire brigade"
"Heavy smoke is coming from the warehouse.",Fire,High,"Fire brigade"
"People are trapped inside the burning building.",Fire,Critical,"Emergency rescue"
"A gas cylinder is on fire near the kitchen.",Fire,Critical,"Fire brigade"
"Flames are spreading across the shop.",Fire,Critical,"Fire suppression team"
"A vehicle has caught fire on the highway.",Fire,High,"Fire brigade"
"The factory floor is on fire.",Fire,Critical,"Industrial fire team"
"Smoke is coming from the basement.",Fire,High,"Fire brigade"
"A short circuit has caused a fire at home.",Fire,High,"Fire brigade"
"Fire has broken out near the electrical transformer.",Fire,Critical,"Electricity and fire team"
"The hotel corridor is filled with smoke.",Fire,Critical,"Building evacuation team"
"A fire is spreading through the storage room.",Fire,High,"Fire suppression team"
"Several homes are threatened by a nearby fire.",Fire,Critical,"Mass evacuation"
"The school laboratory is on fire.",Fire,Critical,"School evacuation team"
"An LPG leak has caused flames in the kitchen.",Fire,Critical,"Fire brigade"
"Smoke is coming from the server room.",Fire,High,"Fire suppression team"
"The garage is burning and vehicles are inside.",Fire,Critical,"Fire brigade"
"Fire has started in the market area.",Fire,High,"Fire brigade"
"A transformer has caught fire near the road.",Fire,High,"Electricity emergency team"
"The restaurant kitchen is filled with smoke.",Fire,Medium,"Fire inspection team"
"Flames are visible from the top floor.",Fire,Critical,"Building rescue team"
"A fire has started in the garbage storage area.",Fire,Medium,"Municipal fire team"
"Fire is spreading toward nearby houses.",Fire,Critical,"Evacuation team"
"The warehouse contains chemicals and is burning.",Fire,Critical,"Hazmat fire team"
"An electrical wire is sparking and burning.",Fire,High,"Electricity emergency team"
"A bus has caught fire at the station.",Fire,High,"Fire brigade"
"The apartment stairwell is full of smoke.",Fire,Critical,"Building evacuation team"
"Fire has started in the basement parking area.",Fire,High,"Fire suppression team"
"People cannot exit because the main door is blocked by flames.",Fire,Critical,"Emergency rescue"
"A cooking gas cylinder is leaking and burning.",Fire,Critical,"Fire brigade"
"The fire alarm is sounding throughout the building.",Fire,High,"Fire inspection team"
"Flames are coming from a factory chimney.",Fire,High,"Industrial fire team"
"A fire has broken out in the electrical room.",Fire,Critical,"Fire brigade"
"Smoke is spreading through the shopping mall.",Fire,Critical,"Mass evacuation"
"Several vehicles are burning in the parking lot.",Fire,High,"Fire suppression team"
"The roadside stall is completely on fire.",Fire,Medium,"Fire brigade"
"Fire has reached the roof of the house.",Fire,High,"Fire brigade"
"A candle caused a fire inside the bedroom.",Fire,Medium,"Fire brigade"
"The fire is moving toward the residential colony.",Fire,Critical,"Evacuation team"
"An office computer has started burning.",Fire,Medium,"Fire inspection team"
"The chemical storage area is producing thick smoke.",Fire,Critical,"Hazmat fire team"
"A fire has started at the petrol station.",Fire,Critical,"Emergency fire response"
"The school bus is burning outside the school.",Fire,Critical,"Fire brigade"
"Smoke is coming from a locked apartment.",Fire,Critical,"Emergency rescue"
"The electrical meter box is burning.",Fire,High,"Electricity emergency team"
"Flames are visible inside the textile factory.",Fire,Critical,"Industrial fire team"
"Fire has spread to the neighboring building.",Fire,Critical,"Fire suppression team"
"The kitchen exhaust is on fire.",Fire,Medium,"Fire brigade"
"A pile of construction material is burning.",Fire,Medium,"Municipal fire team"
"The market is filling with smoke.",Fire,High,"Market evacuation team"
"A mobile charging device caused a small fire.",Fire,Low,"Fire safety inspection"
"Fire has started in the apartment corridor.",Fire,High,"Building evacuation team"
"An overheated machine has caught fire.",Fire,High,"Industrial fire team"
"Smoke is coming from the underground parking lot.",Fire,High,"Fire brigade"
"Flames are spreading across dry vegetation.",Fire,High,"Wildfire response team"
"A forest fire is approaching the village.",Fire,Critical,"Mass evacuation"
"Dry grass is burning near the highway.",Fire,Medium,"Fire control team"
"A roadside electrical pole has caught fire.",Fire,High,"Fire brigade"
"The fire has reached several parked vehicles.",Fire,High,"Fire suppression team"
"An explosion was followed by a building fire.",Fire,Critical,"Fire and rescue team"
"People are trapped above the fire floor.",Fire,Critical,"Building rescue team"
"Smoke is coming from the school kitchen.",Fire,Medium,"Fire brigade"
"A fire has started in the hospital storage room.",Fire,Critical,"Hospital fire team"
"Flames are visible in the shopping complex.",Fire,High,"Mass evacuation"
"The generator room is burning.",Fire,Critical,"Fire brigade"
"Fire has started near the railway tracks.",Fire,High,"Railway emergency team"
"The fire is producing toxic smoke.",Fire,Critical,"Hazmat fire team"
"A gas pipeline appears to be burning.",Fire,Critical,"Gas emergency team"
"Fire has entered the neighboring apartment.",Fire,Critical,"Evacuation team"
"The warehouse roof is burning.",Fire,High,"Fire suppression team"
"Smoke is blocking the building entrance.",Fire,Critical,"Emergency rescue"
"An electrical socket has started burning.",Fire,Medium,"Fire brigade"
"Fire is spreading through the wooden structure.",Fire,High,"Fire suppression team"
"The fire is close to a fuel storage tank.",Fire,Critical,"Hazmat fire team"
"A small fire has started in the trash bin.",Fire,Low,"Municipal fire team"
"The restaurant dining area is on fire.",Fire,High,"Fire brigade"
"Flames are coming from a residential balcony.",Fire,High,"Building rescue team"
"The fire alarm has stopped but smoke remains.",Fire,High,"Fire inspection team"
"An entire row of shops is burning.",Fire,Critical,"Fire suppression team"
"The fire is approaching the nearby school.",Fire,Critical,"School evacuation team"
"Smoke is entering homes from the factory fire.",Fire,High,"Evacuation team"
"A transformer explosion caused flames.",Fire,Critical,"Electricity emergency team"
"The fire has damaged the communication tower.",Fire,High,"Emergency communications team"
"A fire is burning inside the train coach.",Fire,Critical,"Railway rescue team"
"Flames are visible around the fuel station entrance.",Fire,Critical,"Emergency fire response"
"Fire has started in the apartment kitchen.",Fire,Medium,"Fire brigade"
"The office pantry is burning.",Fire,Medium,"Fire brigade"
"A fire has broken out in the industrial area.",Fire,High,"Industrial fire team"
"Smoke is spreading across the neighborhood.",Fire,High,"Public safety team"
"The fire department is needed immediately at the building.",Fire,Critical,"Fire brigade"
"The ground is shaking violently.",Earthquake,Critical,"Search and rescue team"
"We felt a strong earthquake a few minutes ago.",Earthquake,High,"Emergency assessment team"
"Buildings are shaking in our neighborhood.",Earthquake,High,"Safety inspection team"
"Cracks have appeared in the walls after the tremor.",Earthquake,Medium,"Building inspection team"
"A building has partially collapsed after the earthquake.",Earthquake,Critical,"Search and rescue team"
"People are trapped under fallen concrete.",Earthquake,Critical,"Urban rescue team"
"Furniture has fallen throughout the house.",Earthquake,Medium,"Safety assessment team"
"The earthquake damaged several roads.",Earthquake,High,"Road inspection team"
"Power lines have fallen after the tremor.",Earthquake,Critical,"Electricity emergency team"
"Aftershocks are being felt in the area.",Earthquake,High,"Emergency monitoring team"
"The ceiling has collapsed in one room.",Earthquake,High,"Building rescue team"
"People have evacuated their homes after strong shaking.",Earthquake,Medium,"Emergency shelter"
"A bridge may have been damaged by the earthquake.",Earthquake,High,"Bridge inspection team"
"Gas is leaking after the earthquake.",Earthquake,Critical,"Gas emergency team"
"Several windows have shattered during the tremor.",Earthquake,Medium,"Safety inspection team"
"The apartment building is leaning after the earthquake.",Earthquake,Critical,"Immediate evacuation"
"People are trapped inside a damaged school.",Earthquake,Critical,"School rescue team"
"The hospital building has developed large cracks.",Earthquake,Critical,"Medical safety team"
"A wall collapsed onto the road.",Earthquake,High,"Road clearance team"
"The earthquake damaged water pipelines.",Earthquake,High,"Water utility team"
"Residents are sleeping outside because of aftershocks.",Earthquake,Medium,"Emergency shelter"
"Falling objects injured people during the tremor.",Earthquake,Critical,"Medical rescue team"
"The ground shook strongly near the railway station.",Earthquake,High,"Railway inspection team"
"A residential building has collapsed.",Earthquake,Critical,"Urban search and rescue"
"Electrical equipment fell during the earthquake.",Earthquake,Medium,"Electricity inspection team"
"The road has developed cracks after the tremor.",Earthquake,High,"Road inspection team"
"Several houses are unsafe after the earthquake.",Earthquake,High,"Evacuation team"
"The earthquake damaged the water tank.",Earthquake,Medium,"Water utility team"
"People are trapped on an upper floor.",Earthquake,Critical,"Building rescue team"
"The shaking caused shelves to fall in the shop.",Earthquake,Low,"Safety inspection team"
"A large crack has appeared across the building wall.",Earthquake,High,"Building inspection team"
"The earthquake has damaged the railway tracks.",Earthquake,High,"Railway emergency team"
"A chimney collapsed during the earthquake.",Earthquake,Medium,"Building safety team"
"The power supply stopped after the tremor.",Earthquake,High,"Electricity emergency team"
"An old building has partially collapsed.",Earthquake,Critical,"Search and rescue team"
"The earthquake caused landslips on the nearby road.",Earthquake,High,"Road clearance team"
"People are injured after objects fell during shaking.",Earthquake,Critical,"Medical rescue team"
"The building staircase has been damaged.",Earthquake,High,"Building rescue team"
"Water is leaking from a broken pipeline after the earthquake.",Earthquake,Medium,"Water utility team"
"The tremor knocked down several trees.",Earthquake,Low,"Municipal cleanup"
"The earthquake has blocked the main road.",Earthquake,High,"Road clearance team"
"Residents report continuous aftershocks.",Earthquake,High,"Emergency monitoring team"
"A school wall collapsed during the earthquake.",Earthquake,Critical,"School rescue team"
"The apartment elevator is stuck after the tremor.",Earthquake,High,"Technical rescue team"
"Several buildings have visible structural damage.",Earthquake,High,"Structural inspection team"
"The earthquake damaged the gas pipeline.",Earthquake,Critical,"Gas emergency team"
"People are gathering in an open ground after shaking.",Earthquake,Medium,"Emergency shelter"
"A hospital ceiling collapsed after the earthquake.",Earthquake,Critical,"Medical rescue team"
"Power poles have fallen across the street.",Earthquake,High,"Electricity emergency team"
"The bridge has visible cracks after the tremor.",Earthquake,Critical,"Bridge inspection team"
"A water pipeline burst after the earthquake.",Earthquake,Medium,"Water utility team"
"The earthquake damaged the local communication network.",Earthquake,High,"Communication emergency team"
"Several shops have structural cracks.",Earthquake,Medium,"Building inspection team"
"The ground is still shaking occasionally.",Earthquake,High,"Emergency monitoring team"
"People are trapped in a collapsed shop.",Earthquake,Critical,"Urban rescue team"
"A residential staircase has collapsed.",Earthquake,Critical,"Building rescue team"
"The earthquake knocked out electricity in the area.",Earthquake,High,"Electricity emergency team"
"An old wall fell onto parked vehicles.",Earthquake,High,"Road clearance team"
"The earthquake damaged the railway platform.",Earthquake,High,"Railway inspection team"
"People need medical assistance after the tremor.",Earthquake,High,"Medical rescue team"
"Large cracks are visible in the school building.",Earthquake,High,"School inspection team"
"Gas smell is coming from a damaged house.",Earthquake,Critical,"Gas emergency team"
"Several roofs have collapsed after the earthquake.",Earthquake,Critical,"Search and rescue team"
"The tremor damaged a highway overpass.",Earthquake,Critical,"Bridge inspection team"
"Residents are afraid to return to damaged homes.",Earthquake,Medium,"Emergency shelter"
"An earthquake has caused debris to block the street.",Earthquake,High,"Road clearance team"
"The water supply stopped after the tremor.",Earthquake,Medium,"Water utility team"
"A building has tilted noticeably after shaking.",Earthquake,Critical,"Immediate evacuation"
"Fallen bricks have injured pedestrians.",Earthquake,Critical,"Medical rescue team"
"Emergency teams are needed after a major earthquake.",Earthquake,Critical,"Disaster response team"
"The hillside has collapsed onto the road.",Landslide,High,"Road clearance team"
"Mud and rocks are blocking the highway.",Landslide,High,"Heavy equipment team"
"Heavy rain triggered a landslide near the village.",Landslide,Critical,"Evacuation team"
"Several vehicles are trapped by falling debris.",Landslide,High,"Vehicle rescue team"
"Large rocks are falling from the hillside.",Landslide,Critical,"Immediate evacuation"
"Mud has entered several houses.",Landslide,High,"Rescue team"
"The mountain road is completely blocked.",Landslide,High,"Road clearance team"
"A landslide has isolated the village.",Landslide,Critical,"Emergency transport"
"Trees and soil have fallen across the road.",Landslide,Medium,"Cleanup team"
"The slope behind our house is collapsing.",Landslide,Critical,"Evacuation team"
"Rockfall has damaged the road.",Landslide,High,"Road repair team"
"People are trapped inside a vehicle after a landslide.",Landslide,Critical,"Vehicle rescue team"
"Loose soil is sliding down the hill.",Landslide,High,"Geological assessment team"
"The landslide has blocked access to the hospital.",Landslide,Critical,"Emergency route clearance"
"Debris is covering the railway track.",Landslide,High,"Railway clearance team"
"Several homes are threatened by the unstable slope.",Landslide,Critical,"Evacuation team"
"A large boulder has fallen onto the highway.",Landslide,High,"Heavy equipment team"
"The road is covered with mud after the slope failed.",Landslide,Medium,"Road cleanup team"
"Rain has caused soil to collapse near the houses.",Landslide,High,"Safety inspection team"
"A retaining wall has failed on the hillside.",Landslide,High,"Engineering team"
"The mountain path has disappeared under debris.",Landslide,Medium,"Road clearance team"
"Residents are hearing rocks falling behind their homes.",Landslide,Critical,"Evacuation team"
"The landslide damaged a bridge approach.",Landslide,High,"Bridge inspection team"
"Power poles have been knocked down by falling soil.",Landslide,High,"Electricity emergency team"
"Mud is flowing toward the residential area.",Landslide,Critical,"Emergency evacuation"
"Several roads are blocked by rockfall.",Landslide,High,"Road clearance team"
"A hillside crack is getting wider after rainfall.",Landslide,High,"Geological monitoring"
"The landslide has damaged a water pipeline.",Landslide,Medium,"Water utility team"
"People cannot leave the village because of debris.",Landslide,Critical,"Emergency transport"
"Rock debris is falling onto passing vehicles.",Landslide,Critical,"Traffic control team"
"A large section of hillside has collapsed.",Landslide,Critical,"Geological emergency team"
"The road tunnel entrance is blocked by mud.",Landslide,High,"Heavy equipment team"
"Several trees have fallen with the landslide.",Landslide,Medium,"Cleanup team"
"An unstable slope is threatening the school.",Landslide,Critical,"School evacuation team"
"Rainwater is washing soil onto the road.",Landslide,Medium,"Drainage and cleanup team"
"The landslide has cut off telephone lines.",Landslide,High,"Communication repair team"
"Debris has covered the village entrance.",Landslide,High,"Road clearance team"
"A family is trapped behind a landslide.",Landslide,Critical,"Rescue team"
"The hillside above the highway looks unstable.",Landslide,High,"Geological inspection team"
"Falling rocks have damaged several vehicles.",Landslide,High,"Vehicle recovery team"
"Loose rocks are blocking the mountain route.",Landslide,Medium,"Road clearance team"
"The landslide has reached the backyard of a house.",Landslide,High,"Safety inspection team"
"Part of the road has collapsed into the valley.",Landslide,Critical,"Road closure team"
"Heavy rain is causing repeated small landslides.",Landslide,High,"Geological monitoring"
"The village is surrounded by landslide debris.",Landslide,Critical,"Emergency evacuation"
"A large tree and rocks have blocked the road.",Landslide,Medium,"Cleanup team"
"People are stranded because the mountain road collapsed.",Landslide,High,"Emergency transport"
"The slope is moving behind the apartment building.",Landslide,Critical,"Immediate evacuation"
"A landslide has damaged the electricity network.",Landslide,High,"Electricity emergency team"
"Rockfall is occurring near the railway tunnel.",Landslide,Critical,"Railway emergency team"
"Floodwater has triggered a mudslide.",Landslide,High,"Rescue team"
"Debris has entered the drainage channel.",Landslide,Medium,"Drainage cleanup"
"The retaining wall is cracking badly.",Landslide,High,"Engineering inspection team"
"Several houses are at risk from the collapsing hillside.",Landslide,Critical,"Mass evacuation"
"The road surface is buried under several feet of mud.",Landslide,High,"Heavy equipment team"
"Fallen rocks have blocked emergency vehicles.",Landslide,Critical,"Emergency route clearance"
"The landslide has damaged the local bridge.",Landslide,High,"Bridge inspection team"
"Residents need help leaving the affected slope.",Landslide,Critical,"Evacuation team"
"A landslide occurred near the school entrance.",Landslide,High,"School safety team"
"Large cracks have appeared on the hillside.",Landslide,High,"Geological monitoring"
"Debris is moving toward the lower settlement.",Landslide,Critical,"Emergency evacuation"
"The landslide has buried part of the road.",Landslide,High,"Road clearance team"
"Several vehicles are stuck behind fallen rocks.",Landslide,Medium,"Vehicle rescue team"
"The mountain road is unsafe because of continuing rockfall.",Landslide,Critical,"Road closure team"
"Soil is collapsing near the foundation of our house.",Landslide,Critical,"Building inspection team"
"The hillside collapsed after hours of rain.",Landslide,High,"Rescue team"
"Rockfall has damaged the railway signal system.",Landslide,High,"Railway repair team"
"The landslide blocked access to the emergency center.",Landslide,Critical,"Emergency route clearance"
"A mudslide has entered the lower part of the village.",Landslide,Critical,"Evacuation team"
"The road is covered in rocks and tree branches.",Landslide,Medium,"Cleanup team"
"Another slope failure is possible near the settlement.",Landslide,High,"Geological monitoring"
"Residents report loud cracking sounds from the hill.",Landslide,Critical,"Immediate evacuation"
"The landslide has destroyed part of the road.",Landslide,High,"Road repair team"
"Heavy debris is blocking the mountain pass.",Landslide,High,"Heavy equipment team"
"People need shelter after the hillside collapse.",Landslide,Medium,"Emergency shelter"
"The cyclone warning has been issued for the coast.",Cyclone,High,"Emergency warning team"
"Very strong winds are approaching the coastal village.",Cyclone,Critical,"Coastal evacuation team"
"Heavy rain and cyclone winds are hitting the city.",Cyclone,High,"Disaster response team"
"Trees are falling because of strong cyclone winds.",Cyclone,High,"Emergency road clearance"
"Power lines are down after the cyclone.",Cyclone,Critical,"Electricity emergency team"
"The sea is extremely rough near the shoreline.",Cyclone,Critical,"Coastal evacuation team"
"Roofs are being damaged by strong winds.",Cyclone,High,"Emergency repair team"
"People are being evacuated from the coastal area.",Cyclone,Critical,"Evacuation team"
"The cyclone has flooded several coastal streets.",Cyclone,High,"Rescue team"
"Communication towers have stopped working.",Cyclone,High,"Communication repair team"
"Large waves are hitting the coastal road.",Cyclone,Critical,"Road closure team"
"Several boats are still at sea during the cyclone.",Cyclone,Critical,"Coast guard rescue"
"The cyclone is expected to make landfall tonight.",Cyclone,High,"Emergency preparedness team"
"Strong winds have damaged windows across the neighborhood.",Cyclone,Medium,"Emergency repair team"
"Trees have fallen across the main highway.",Cyclone,High,"Road clearance team"
"The roof of our house is lifting in the wind.",Cyclone,Critical,"Emergency evacuation"
"Flooding is worsening because of cyclone rainfall.",Cyclone,High,"Flood rescue team"
"People near the beach need immediate evacuation.",Cyclone,Critical,"Coastal evacuation team"
"The cyclone has damaged the local power grid.",Cyclone,High,"Electricity emergency team"
"Heavy rain has flooded the fishing village.",Cyclone,Critical,"Boat rescue team"
"The wind has broken several streetlights.",Cyclone,Medium,"Municipal repair team"
"The sea level is rising during the storm.",Cyclone,Critical,"Coastal evacuation team"
"A fishing boat has lost communication during the cyclone.",Cyclone,Critical,"Coast guard rescue"
"The cyclone has damaged the harbor.",Cyclone,High,"Harbor emergency team"
"Strong winds are blocking roads with fallen branches.",Cyclone,Medium,"Road cleanup team"
"The storm has damaged the roof of the school.",Cyclone,High,"School safety team"
"Residents are sheltering indoors because of extreme winds.",Cyclone,Medium,"Emergency shelter"
"The cyclone has knocked out electricity in the area.",Cyclone,High,"Electricity emergency team"
"Large waves are flooding the seaside neighborhood.",Cyclone,Critical,"Mass evacuation"
"Several houses near the coast are damaged.",Cyclone,High,"Damage assessment team"
"The cyclone has uprooted trees near the hospital.",Cyclone,High,"Emergency road clearance"
"Rainwater is entering homes during the cyclone.",Cyclone,High,"Flood rescue team"
"Wind speeds are increasing rapidly near the coast.",Cyclone,Critical,"Emergency warning team"
"People are trapped in a coastal building.",Cyclone,Critical,"Rescue team"
"The cyclone has damaged the railway overhead wires.",Cyclone,High,"Railway emergency team"
"Power transformers have been damaged by the storm.",Cyclone,Critical,"Electricity emergency team"
"The coastal highway is covered with debris.",Cyclone,High,"Road clearance team"
"Strong winds have damaged several apartment balconies.",Cyclone,Medium,"Building inspection team"
"The storm surge is moving toward the village.",Cyclone,Critical,"Immediate evacuation"
"Boats are being thrown against the harbor wall.",Cyclone,Critical,"Harbor emergency team"
"The cyclone has caused widespread flooding.",Cyclone,Critical,"Disaster response team"
"The roof of a shop has blown away.",Cyclone,High,"Emergency repair team"
"Trees have fallen onto residential houses.",Cyclone,Critical,"Rescue team"
"The cyclone has damaged telephone networks.",Cyclone,High,"Communication repair team"
"Coastal roads are underwater after the storm surge.",Cyclone,Critical,"Road closure team"
"Residents need food and water after the cyclone.",Cyclone,Medium,"Relief supplies"
"The storm has damaged several fishing boats.",Cyclone,High,"Marine rescue team"
"Strong winds are breaking windows in our building.",Cyclone,High,"Building safety team"
"The cyclone has disrupted airport operations.",Cyclone,High,"Transport emergency team"
"Rain is entering the house through the damaged roof.",Cyclone,Medium,"Emergency shelter team"
"The storm surge has entered the lower village.",Cyclone,Critical,"Mass evacuation"
"Several power poles have fallen on the road.",Cyclone,Critical,"Electricity emergency team"
"The cyclone has blocked the road to the hospital.",Cyclone,Critical,"Emergency route clearance"
"Large waves have damaged the sea wall.",Cyclone,High,"Coastal engineering team"
"People are stranded in a flooded coastal neighborhood.",Cyclone,Critical,"Boat rescue"
"The storm has damaged the water supply.",Cyclone,High,"Water utility team"
"Trees are blocking multiple streets after the cyclone.",Cyclone,Medium,"Municipal cleanup"
"The cyclone has destroyed several roadside shelters.",Cyclone,High,"Emergency shelter team"
"Wind and rain are becoming dangerously intense.",Cyclone,Critical,"Emergency warning team"
"A coastal village has lost electricity during the storm.",Cyclone,High,"Electricity emergency team"
